team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
COL,Colorado Avalanche,2015,82,39,39,4,82,0.5,33,35,4,212,240,2.59,2.93,5,18.0,80.2,14.7,82.9,28.6,32.3,49.9
CBJ,Columbus Blue Jackets,2015,82,34,40,8,76,0.463,26,28,6,213,248,2.6,3.02,1,17.3,81.0,14.1,82.1,29.1,31.1,49.0
DAL,Dallas Stars,2015,82,50,23,9,109,0.665,42,48,2,265,228,3.23,2.78,5,22.1,82.3,16.4,86.3,32.0,28.9,50.2
DET,Detroit Red Wings,2015,82,41,30,11,93,0.567,30,39,2,209,219,2.55,2.67,6,18.8,81.5,17.3,82.3,29.7,29.7,50.5
EDM,Edmonton Oilers,2015,82,31,43,8,70,0.427,20,27,4,199,242,2.43,2.95,3,18.1,81.1,15.6,83.1,29.1,31.1,48.8
FLA,Florida Panthers,2015,82,47,26,9,103,0.628,39,40,7,232,200,2.83,2.44,4,16.9,79.5,15.1,81.3,28.8,29.5,50.1
LAK,Los Angeles Kings,2015,82,48,28,6,102,0.622,34,46,2,223,192,2.72,2.34,7,20.0,81.4,18.7,83.2,32.0,27.5,50.5
MIN,Minnesota Wild,2015,82,38,33,11,87,0.53,34,35,3,213,204,2.6,2.49,8,18.5,77.9,16.2,81.4,29.0,28.6,52.5
MTL,Montréal Canadiens,2015,82,38,38,6,82,0.5,30,33,5,216,233,2.63,2.84,3,16.2,81.9,12.0,85.0,30.5,29.4,50.3
NSH,Nashville Predators,2015,82,41,27,14,96,0.585,35,37,4,224,213,2.73,2.6,6,19.7,81.2,18.9,84.1,30.6,27.3,48.7
NJD,New Jersey Devils,2015,82,38,36,8,84,0.512,27,36,2,182,202,2.22,2.46,7,19.9,83.0,16.8,84.8,24.4,28.6,46.4
NYI,New York Islanders,2015,82,45,27,10,100,0.61,34,40,5,227,211,2.77,2.57,4,18.3,84.5,15.7,87.5,29.4,30.4,50.1
